Date,Route,Bus,Planned Start Time,Planned Anchor Time,Anchor Time Converted,ActualArrivalTime,Arrival Delay,AM/PM,Time Tier,Type of Bus,% Off Route,Departure Delay,Departed on Time?,School,Yard,Tier Breakdown,Monitor Issue,Monitor?,CR?,DtD,Total Rider,Average Speed,Trip Length,Trip Distance,Average actual speed,Departed on time?,Driver
10/4/2017,592451,MS134,6:30,7:50,470,7:54,4,AM,8:30,M,34,-6,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,8.48,0,1538
10/5/2017,592451,MS134,6:30,7:50,470,7:52,2,AM,8:30,M,33,8,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.3135,0,1538
10/6/2017,592451,MS134,6:30,7:50,470,8:04,14,AM,8:30,M,52,8,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,8.8744,0,1538
10/10/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,7,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.4548,0,1538
10/11/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,8,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.6,0,1538
10/12/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,7,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.4548,0,1538
10/16/2017,592451,MS134,6:30,7:50,470,7:52,2,AM,8:30,M,,16,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,11.5636,0,1538
10/17/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,-5,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,8.9788,0,1538
10/19/2017,592451,MS134,6:38,7:50,470,7:48,-2,AM,8:30,M,,-9,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,9.6608,0,1538
10/2/2017,592451,MS134,6:36,7:50,470,7:28,-22,AM,8:30,M,65,-5,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,13.3895,1,1538
10/20/2017,592451,MS134,6:38,7:50,470,7:52,2,AM,8:30,M,,0,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.3135,0,1538
10/23/2017,592451,MS134,6:38,7:50,470,7:54,4,AM,8:30,M,,-5,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,9.4222,0,1538
10/24/2017,592451,MS134,6:38,7:50,470,7:51,1,AM,8:30,M,,2,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.7493,0,1538
10/3/2017,592451,MS134,6:36,7:50,470,7:56,6,AM,8:30,M,57,21,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,12.9356,1,1538
10/25/2017,592451,MS134,6:38,7:50,470,8:04,14,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/26/2017,592451,MS134,6:38,7:50,470,7:42,-8,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/27/2017,592451,MS134,6:38,7:50,470,7:44,-6,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/30/2017,592451,MS134,6:38,7:50,470,7:38,-12,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/31/2017,592451,MS134,6:38,7:50,470,7:40,-10,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/17/2017,592452,MS135,6:31,7:51,471,7:51,1,AM,8:30,M,,-10,1,,WAS,730-930,,0,,,,,,,,1,1138
10/17/2017,592453,MS136,6:32,7:52,472,7:52,2,AM,8:30,M,,-15,1,,WAS,730-830-930,,0,,,,,,,,1,1299
10/17/2017,592454,MS137,6:33,7:53,473,7:53,3,AM,8:30,M,,13,0,,WAS,830-930,,1,,,,,,,,,2107
10/17/2017,592455,MS138,6:34,7:54,474,7:54,4,AM,8:30,M,,4,0,,WAS,730-930,,1,,,,,,,,0,1462
10/17/2017,592456,MS139,6:35,7:55,475,7:55,5,AM,8:30,M,,-12,1,,WAS,730-830-930,,0,,,,,,,,1,
10/17/2017,592457,MS140,6:36,7:56,476,7:56,6,AM,8:30,M,,-8,1,,WAS,730-830-930,,1,,,,,,,,0,1672
10/17/2017,592458,MS141,6:37,7:57,477,7:57,7,AM,8:30,M,,-3,1,,WAS,730-830-930,,1,,,,,,,,1,1417
10/17/2017,592459,MS142,6:38,7:58,478,7:58,8,AM,8:30,M,,1,0,,WAS,730-930,,1,,,,,,,,1,1872
10/17/2017,592460,MS143,6:39,7:59,479,7:59,9,AM,8:30,M,,0,1,,WAS,830,,1,,,,,,,,1,1433
10/17/2017,592461,MS144,6:40,0.333333333,480,0.333333333,10,AM,8:30,M,,23,0,,WAS,730-930,,0,,,,,,,,,1617
10/17/2017,592462,MS145,6:41,0.334027778,481,0.334027778,11,AM,8:30,M,,2,0,,WAS,730-930,,0,,,,,,,,1,1694
10/17/2017,592463,MS146,6:42,0.334722222,482,0.334722222,12,AM,8:30,M,,,,,WAS,730-930,,1,,,,,,,,0,1489
10/17/2017,592464,MS147,6:43,0.335416667,483,0.335416667,13,AM,8:30,M,,-5,1,,WAS,730-930,,0,,,,,,,,0,1871
10/17/2017,592465,MS148,6:44,0.336111111,484,0.336111111,14,AM,8:30,M,,,,,WAS,830,,1,,,,,,,,0,1736
10/17/2017,592466,MS149,6:45,0.336805556,485,0.336805556,15,AM,8:30,M,,,,,WAS,830,,0,,,,,,,,1,1628
10/17/2017,592467,MS150,6:46,0.3375,486,0.3375,16,AM,8:30,M,,11,0,,WAS,830,,1,,,,,,,,1,1225
10/17/2017,592468,MS151,6:47,0.338194444,487,0.338194444,17,AM,8:30,M,,,,,WAS,830-930,,0,,,,,,,,0,1747
10/17/2017,592469,MS152,6:48,0.338888889,488,0.338888889,18,AM,8:30,M,,,,,WAS,730-830-930,,1,,,,,,,,1,1739
10/17/2017,592470,MS153,6:49,0.339583333,489,0.339583333,19,AM,8:30,M,,-6,1,,WAS,830-930,,0,,,,,,,,1,1671
10/17/2017,592471,MS154,6:50,0.340277778,490,0.340277778,20,AM,8:30,M,,-6,1,,WAS,730-930,,1,,,,,,,,0,1510
10/17/2017,592472,MS155,6:51,0.340972222,491,0.340972222,21,AM,8:30,M,,,,,WAS,730-830,,1,,,,,,,,,1338
10/17/2017,592473,MS156,6:52,0.341666667,492,0.341666667,22,AM,8:30,M,,15,0,,WAS,730-930,,1,,,,,,,,0,1784
10/17/2017,592474,MS157,6:53,0.342361111,493,0.342361111,23,AM,8:30,M,,-5,1,,WAS,730-930,,1,,,,,,,,1,1650
10/17/2017,592475,MS158,6:54,0.343055556,494,0.343055556,24,AM,8:30,M,,,,,,,,0,,,,,,,,,2092
10/17/2017,592476,MS159,6:55,0.34375,495,0.34375,25,AM,8:30,M,,-2,1,,WAS,730-930,,1,,,,,,,,1,1572
10/17/2017,592477,MS160,6:56,0.344444444,496,0.344444444,26,AM,8:30,M,,-6,1,,,830,,0,,,,,,,,0,1551
10/17/2017,592478,MS161,6:57,0.345138889,497,0.345138889,27,AM,8:30,M,,5,0,,WAS,830,,0,,,,,,,,,1690
10/17/2017,592479,MS162,6:58,0.345833333,498,0.345833333,28,AM,8:30,M,,5,0,,WAS,830-930,,1,,,,,,,,0,1076
10/17/2017,592480,MS163,6:59,0.346527778,499,0.346527778,29,AM,8:30,M,,-26,1,,WAS,730-930,,1,,,,,,,,1,1130
10/17/2017,592481,MS164,0.291666667,0.347222222,500,0.347222222,30,AM,8:30,M,,-10,1,,WAS,730-830,,0,,,,,,,,1,
10/17/2017,592482,MS165,0.292361111,0.347916667,501,0.347916667,31,AM,8:30,M,,11,0,,WAS,730-930,,1,,,,,,,,0,1672
10/17/2017,592483,MS166,0.293055556,0.348611111,502,0.348611111,32,AM,8:30,M,,-8,1,,WAS,730-930,,1,,,,,,,,0,1746
10/17/2017,592484,MS167,0.29375,0.349305556,503,0.349305556,33,AM,8:30,M,,-1,1,,WAS,730-930,,0,,,,,,,,1,1443
10/17/2017,592485,MS168,0.294444444,0.35,504,0.35,34,AM,8:30,M,,-54,1,,WAS,730-930,,1,,,,,,,,1,1440
10/17/2017,592486,MS169,0.295138889,0.350694444,505,0.350694444,35,AM,8:30,M,,-5,1,,WAS,830-930,,0,,,,,,,,1,1674
10/17/2017,592487,MS170,0.295833333,0.351388889,506,0.351388889,36,AM,8:30,M,,1,0,,WAS,830-930,,1,,,,,,,,0,1295
10/17/2017,592488,MS171,0.296527778,0.352083333,507,0.352083333,37,AM,8:30,M,,2,0,,WAS,730-830-930,,1,,,,,,,,0,1076
10/17/2017,592489,MS172,0.297222222,0.352777778,508,0.352777778,38,AM,8:30,M,,,,,WAS,930,,0,,,,,,,,,1113
10/17/2017,592490,MS173,0.297916667,0.353472222,509,0.353472222,39,AM,8:30,M,,2,0,,,930,,0,,,,,,,,,1732
10/2/2017,902451,MS124,7:32,8:35,515,8:20,-15,AM,8:30,M,84,3,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/3/2017,902451,MS124,7:32,8:35,515,8:31,-4,AM,8:30,M,84,4,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/4/2017,902451,MS124,7:32,8:35,515,8:35,0,AM,8:30,M,86,-6,1,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/5/2017,902451,MS124,7:32,8:35,515,8:27,-8,AM,8:30,M,83,6,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/6/2017,902451,MS124,7:32,8:35,515,8:32,-3,AM,8:30,M,85,7,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/11/2017,902451,MS124,7:32,8:35,515,8:26,-9,AM,8:30,M,,2,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/13/2017,902451,MS124,7:32,8:35,515,8:22,-13,AM,8:30,M,,2,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/16/2017,902451,MS124,7:32,8:35,515,8:38,3,AM,8:30,M,,4,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/19/2017,902451,MS124,7:32,8:35,515,8:32,-3,AM,8:30,M,,-7,1,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/20/2017,902451,MS124,7:32,8:35,515,8:38,3,AM,8:30,M,,6,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/23/2017,902451,MS124,7:32,8:35,515,8:26,-9,AM,8:30,M,,6,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/24/2017,902451,MS124,7:32,8:35,515,8:29,-6,AM,8:30,M,,2,0,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/25/2017,902451,MS124,7:32,8:35,515,8:27,-8,AM,8:30,M,,,,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/26/2017,902451,MS124,7:32,8:35,515,8:34,-1,AM,8:30,M,,,,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/27/2017,902451,MS124,7:32,8:35,515,8:26,-9,AM,8:30,M,,,,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/30/2017,902451,MS124,7:32,8:35,515,8:24,-11,AM,8:30,M,,,,BEVERLY SCHL / DEAF,,,,1,0,1,1,,,,,0,1504
10/4/2017,1104551,WB950,9:43,10:10,610,10:15,5,AM,9:30,W,34,25,0,Boston College Campus,FREE,730-830-930,,1,0,1,1,12.80506,26:20:00,5.62,48.1714,1,1302
10/10/2017,1104551,WB950,9:43,10:10,610,10:15,5,AM,9:30,W,,-2,1,Boston College Campus,FREE,730-830-930,,1,0,1,1,12.80506,26:20:00,5.62,9.9176,0,1302
10/13/2017,1104551,WB950,9:43,10:10,610,10:12,2,AM,9:30,W,,-1,1,Boston College Campus,FREE,730-830-930,,1,0,1,1,12.80506,26:20:00,5.62,11.24,0,1302
10/2/2017,1132251,MS127,7:40,8:20,500,8:31,11,AM,8:30,M,2,6,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,22.6933,0,1400
10/3/2017,1132251,MS127,7:40,8:20,500,8:46,26,AM,8:30,M,6,4,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,16.471,0,1400
10/4/2017,1132251,MS127,7:40,8:20,500,8:39,19,AM,8:30,M,5,-6,1,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,15.7108,0,1400
10/5/2017,1132251,MS127,7:40,8:20,500,8:38,18,AM,8:30,M,6,5,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,19.2679,0,1400
10/6/2017,1132251,MS127,7:40,8:20,500,8:33,13,AM,8:30,M,7,4,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,20.8408,0,1400
10/11/2017,1132251,MS127,7:40,8:20,500,8:34,14,AM,8:30,M,,9,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,22.6933,0,1400
10/12/2017,1132251,MS127,7:40,8:20,500,8:28,8,AM,8:30,M,,2,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,22.2,0,1400
10/13/2017,1132251,MS127,7:40,8:20,500,8:32,12,AM,8:30,M,,2,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,20.424,0,1400
10/16/2017,1132251,MS127,7:40,8:20,500,8:34,14,AM,8:30,M,,13,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,24.9073,0,1400
10/19/2017,1132251,MS127,7:40,8:20,500,8:39,19,AM,8:30,M,,3,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,18.2357,0,1400
10/20/2017,1132251,MS127,7:40,8:20,500,8:40,20,AM,8:30,M,,1,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,17.3085,0,1400
10/23/2017,1132251,MS127,7:40,8:20,500,8:26,6,AM,8:30,M,,7,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,26.1846,0,1400
10/24/2017,1132251,MS127,7:40,8:20,500,8:33,13,AM,8:30,M,,1,0,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,19.6385,0,1400
10/26/2017,1132251,MS127,7:40,8:20,500,8:37,17,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,,0,1400
10/27/2017,1132251,MS127,7:40,8:20,500,8:34,14,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,,0,1400
10/30/2017,1132251,MS127,7:40,8:20,500,8:33,13,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,,0,1400
10/31/2017,1132251,MS127,7:40,8:20,500,8:33,13,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,1,1,25.61538,39:52:00,17.02,,0,1400
10/2/2017,1132252,MS138,7:37,8:20,500,8:35,15,AM,8:30,M,48,7,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,18.4235,0,1462
10/3/2017,1132252,MS138,7:37,8:20,500,8:42,22,AM,8:30,M,45,5,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,15.66,0,1462
10/4/2017,1132252,MS138,7:37,8:20,500,8:43,23,AM,8:30,M,42,-6,1,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,13.05,0,1462
10/5/2017,1132252,MS138,7:37,8:20,500,8:55,35,AM,8:30,M,,5,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,12.8712,0,1462
10/6/2017,1132252,MS138,7:37,8:20,500,8:37,17,AM,8:30,M,42,1,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,15.9254,0,1462
10/10/2017,1132252,MS138,7:37,8:20,500,8:39,19,AM,8:30,M,,3,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,15.9254,0,1462
10/11/2017,1132252,MS138,7:37,8:20,500,8:34,14,AM,8:30,M,,8,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,19.1755,0,1462
10/12/2017,1132252,MS138,7:37,8:20,500,8:41,21,AM,8:30,M,,5,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,15.9254,0,1462
10/13/2017,1132252,MS138,7:37,8:20,500,8:08,-12,AM,8:30,M,,3,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,33.5571,0,1462
10/16/2017,1132252,MS111,7:37,8:20,500,8:11,-9,AM,8:30,M,,7,0,Boston Higashi School,WAS,,,0,0,2,2,21.95327,42:48:00,15.66,34.8,,
10/19/2017,1132252,MS138,7:37,8:20,500,8:12,-8,AM,8:30,M,,4,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,30.3097,0,1462
10/27/2017,1132252,MS138,7:37,8:20,500,7:59,-21,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,,0,1462
10/20/2017,1132252,MS138,7:37,8:20,500,8:07,-13,AM,8:30,M,,-1,1,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,30.3097,0,1462
10/23/2017,1132252,MS138,7:37,8:20,500,8:11,-9,AM,8:30,M,,3,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,30.3097,0,1462
10/24/2017,1132252,MS138,7:37,8:20,500,8:09,-11,AM,8:30,M,,3,0,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,32.4,0,1462
10/25/2017,1132252,MS138,7:37,8:20,500,8:04,-16,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,,0,1462
10/26/2017,1132252,MS138,7:37,8:20,500,8:21,1,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,,0,1462
10/30/2017,1132252,MS138,7:45,8:20,500,8:15,-5,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,,0,1462
10/31/2017,1132252,MS138,7:45,8:20,500,8:10,-10,AM,8:30,M,,,,Boston Higashi School,WAS,730-930,,1,0,2,2,21.95327,42:48:00,15.66,,0,1462
10/2/2017,1420125,HS361,6:21,7:15,435,7:24,9,AM,7:30,H,,18,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,17.1333,0,1574
10/4/2017,1420125,HS361,6:08,7:15,435,7:23,8,AM,7:30,H,,-21,1,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,8.0313,0,1574
10/3/2017,1420125,HS361,6:21,7:15,435,7:39,24,AM,7:30,H,,26,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,14.8269,0,1574
10/5/2017,1420125,HS361,6:08,7:15,435,7:34,19,AM,7:30,H,29,6,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,9.6375,0,1574
10/6/2017,1420125,HS361,6:08,7:15,435,7:23,8,AM,7:30,H,20,3,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,10.7083,0,1574
10/10/2017,1420125,HS361,6:08,7:15,435,7:25,10,AM,7:30,H,,1,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,10.1447,0,1574
10/11/2017,1420125,HS361,6:08,7:15,435,7:23,8,AM,7:30,H,,3,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,10.7083,0,1574
10/12/2017,1420125,HS361,6:08,7:15,435,7:20,5,AM,7:30,H,,4,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,11.3382,0,1574
10/13/2017,1420125,HS361,6:08,7:15,435,7:25,10,AM,7:30,H,,,,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,,0,1574
10/16/2017,1420125,HS361,6:08,7:15,435,7:27,12,AM,7:30,H,,4,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,10.28,0,1574
10/19/2017,1420125,HS361,6:08,7:15,435,7:18,3,AM,7:30,H,,3,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,11.5075,0,1574
10/20/2017,1420125,HS361,6:08,7:15,435,7:22,7,AM,7:30,H,,1,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,10.5616,0,1574
10/23/2017,1420125,HS361,6:08,7:15,435,7:20,5,AM,7:30,H,,-1,1,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,10.5616,0,1574
10/24/2017,1420125,HS361,6:08,7:15,435,7:29,14,AM,7:30,H,,2,0,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,9.7595,0,1574
10/25/2017,1420125,HS361,6:08,7:15,435,7:32,17,AM,7:30,H,,,,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,,0,1574
10/26/2017,1420125,HS361,6:08,7:15,435,7:22,7,AM,7:30,H,,,,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,,0,1574
10/27/2017,1420125,HS361,6:08,7:15,435,7:29,14,AM,7:30,H,,,,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,,0,1574
10/30/2017,1420125,HS361,6:08,7:15,435,7:22,7,AM,7:30,H,,,,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,,0,1574
10/31/2017,1420125,HS361,6:08,7:15,435,7:26,11,AM,7:30,H,,,,Boston Arts Academy,READ,730-830-930,,1,0,7,7,13.1234,58:45:00,12.85,,0,1574
10/2/2017,1552251,MS143,7:02,8:05,485,7:47,-18,AM,8:30,M,14,-54,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,13.9273,1,1433
10/3/2017,1552251,MS143,7:02,8:05,485,7:48,-17,AM,8:30,M,14,-1,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,29.3362,1,1433
10/4/2017,1552251,MS143,7:02,8:05,485,7:48,-17,AM,8:30,M,17,-6,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,26.5154,1,1433
10/5/2017,1552251,MS143,7:02,8:05,485,7:49,-16,AM,8:30,M,21,0,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,29.3362,1,1433
10/6/2017,1552251,MS143,7:02,8:05,485,7:49,-16,AM,8:30,M,21,0,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,29.3362,1,1433
10/10/2017,1552251,MS143,7:02,8:05,485,7:48,-17,AM,8:30,M,,-4,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,27.576,1,1433
10/11/2017,1552251,MS143,7:02,8:05,485,7:49,-16,AM,8:30,M,,3,0,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,31.3364,1,1433
10/12/2017,1552251,MS143,7:02,8:05,485,7:46,-19,AM,8:30,M,,0,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,31.3364,1,1433
10/13/2017,1552251,MS143,7:02,8:05,485,7:49,-16,AM,8:30,M,,1,0,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,29.9739,1,1433
10/16/2017,1552251,MS143,7:02,8:05,485,7:48,-17,AM,8:30,M,,0,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,29.9739,1,1433
10/19/2017,1552251,MS143,7:02,8:05,485,7:50,-15,AM,8:30,M,,4,0,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,31.3364,1,1433
10/23/2017,1552251,MS143,7:02,8:05,485,7:42,-23,AM,8:30,M,,0,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,34.47,1,1433
10/20/2017,1552251,MS143,7:02,8:05,485,7:49,-16,AM,8:30,M,,-1,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,28.725,1,1433
10/24/2017,1552251,MS143,7:02,8:05,485,7:56,-9,AM,8:30,M,,6,0,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,28.725,1,1433
10/25/2017,1552251,MS143,7:02,8:05,485,7:52,-13,AM,8:30,M,,,,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,,1,1433
10/26/2017,1552251,MS143,7:02,8:05,485,7:50,-15,AM,8:30,M,,,,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,,1,1433
10/27/2017,1552251,MS143,7:02,8:05,485,8:03,-2,AM,8:30,M,,,,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,,1,1433
10/30/2017,1552251,MS143,7:02,8:05,485,7:45,-20,AM,8:30,M,,,,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,,1,1433
10/31/2017,1552251,MS143,7:02,8:05,485,7:45,-20,AM,8:30,M,,,,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,22.04904,62:32:00,22.98,,1,1433
10/2/2017,1552252,MS133,6:57,8:05,485,7:53,-12,AM,8:30,M,54,2,0,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,23.0604,67:03:00,25.77,28.6333,0,1138
10/3/2017,1552252,MS133,6:57,8:05,485,7:55,-10,AM,8:30,M,61,-4,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,23.0604,67:03:00,25.77,24.9387,1,1138
10/4/2017,1552252,MS133,6:57,8:05,485,7:57,-8,AM,8:30,M,54,-6,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,23.0604,67:03:00,25.77,23.4273,0,1138
10/5/2017,1552252,MS133,6:57,8:05,485,8:01,-4,AM,8:30,M,65,0,1,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,23.0604,67:03:00,25.77,24.1594,1,1138
10/10/2017,1552252,MS133,6:57,8:05,485,7:54,-11,AM,8:30,M,,5,0,Cardinal Cushing Hanover,WAS,830,,1,0,2,2,23.0604,67:03:00,25.77,29.7346,1,1138
